file_path,label,load_hp,fault_diameter_mils,warnings
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@3\150_2.mat,OR,2,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@3\151_3.mat,OR,3,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@6\135_0.mat,OR,0,7.0,"NGHI_NGO_SAMPLING_RATE: n_samples=243538 (12kHz->20.3s, 24kHz->10.1s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@6\136_1.mat,OR,1,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@6\137_2.mat,OR,2,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@6\138_3.mat,OR,3,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\014\201@6_0.mat,OR,0,14.0,"NGHI_NGO_SAMPLING_RATE: n_samples=245140 (12kHz->20.4s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\014\202@6_1.mat,OR,1,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\014\203@6_2.mat,OR,2,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\014\204@6_3.mat,OR,3,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@12\262_0.mat,OR,0,21.0,"NGHI_NGO_SAMPLING_RATE: n_samples=130549 (12kHz->10.9s, 24kHz->5.4s, 48kHz->2.7s). Rate hợp lý nhất: 12kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@12\263_1.mat,OR,1,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@12\264_2.mat,OR,2,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@12\265_3.mat,OR,3,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@3\250_0.mat,OR,0,21.0,"NGHI_NGO_SAMPLING_RATE: n_samples=128663 (12kHz->10.7s, 24kHz->5.4s, 48kHz->2.7s). Rate hợp lý nhất: 12kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@3\251_1.mat,OR,1,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@3\252_2.mat,OR,2,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@3\253_3.mat,OR,3,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@6\238_0.mat,OR,0,21.0,"NGHI_NGO_SAMPLING_RATE: n_samples=246342 (12kHz->20.5s, 24kHz->10.3s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@6\239_1.mat,OR,1,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@6\240_2.mat,OR,2,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\021\@6\241_3.mat,OR,3,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\Normal\100_Normal_3.mat,Normal,3,,"NGHI_NGO_SAMPLING_RATE: n_samples=485643 (12kHz->40.5s, 24kHz->20.2s, 48kHz->10.1s). Rate hợp lý nhất: 48kHz — KHÁC rate mà file tự nhận (12kHz, qua thư mục nguồn/phạm vi mục tiêu)."
..\..\data\raw\Normal\97_Normal_0.mat,Normal,0,,"NGHI_NGO_SAMPLING_RATE: n_samples=243938 (12kHz->20.3s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (12kHz, qua thư mục nguồn/phạm vi mục tiêu)."
..\..\data\raw\Normal\98_Normal_1.mat,Normal,1,,"NGHI_NGO_SAMPLING_RATE: n_samples=483903 (12kHz->40.3s, 24kHz->20.2s, 48kHz->10.1s). Rate hợp lý nhất: 48kHz — KHÁC rate mà file tự nhận (12kHz, qua thư mục nguồn/phạm vi mục tiêu)."
..\..\data\raw\Normal\99_Normal_2.mat,Normal,2,,"NGHI_NGO_SAMPLING_RATE: n_samples=485063 (12kHz->40.4s, 24kHz->20.2s, 48kHz->10.1s). Rate hợp lý nhất: 48kHz — KHÁC rate mà file tự nhận (12kHz, qua thư mục nguồn/phạm vi mục tiêu)."
